,UserID,Age,Clothing ID,Pic_path,Rating,Recommended IND,Positive Feedback Count,Class Name
9556,D,28,206,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_15.jpg,4,1,1,Blouses
1065,B,42,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,4,1,3,Dresses
10419,D,28,221,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve._3jpg.jpg,1,0,3,Blouses
9113,D,28,210,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_19.jpg,4,1,11,Blouses
8978,E,25,209,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_18.jpg,4,1,1,Blouses
782,B,42,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,2,0,1,Dresses
4523,A,32,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,3,0,0,Dresses
9345,E,25,220,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\b_reserve.jpg,4,1,0,Blouses
2624,C,36,109,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_18.jpg,1,0,2,Dresses
7308,A,32,417,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_9.jpg,5,1,0,Skirts
8327,D,28,208,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_17.jpg,4,1,0,Blouses
1728,D,28,119,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_9.jpg,4,1,6,Dresses
8394,B,42,216,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_6.jpg,5,1,3,Blouses
6629,B,42,308,C:\Users\amit hayoun\Desktop\reant_anyway_data\Shorts\SH_17.jpg,3,1,13,Shorts
3106,B,42,107,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_16.jpg,4,1,4,Dresses
225,A,32,117,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_7.jpg,4,1,0,Dresses
2113,D,28,116,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_6.jpg,3,1,3,Dresses
6719,D,28,406,C:\Users\amit hayoun\Desktop\reant_anyway_data\Skirts\S_16.jpg,5,1,5,Skirts
9626,D,28,223,,5,1,2,Blouses
1556,B,42,101,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_10.jpg,3,1,3,Dresses
